Month,Avg Temp (F),Max Temp (F),Min Temp (F),Avg Rel Hum (%),Max Rel Hum (%),Min Rel Hum (%),Avg Sol Rad (w/m^2),Max Sol Rad (w/m^2),Total Sol Rad (w/m^2),Avg Wind (mph),Max Wind (mph),Avg Barom (mb),Max Barom (mb),Min Barom (mb),Precip (in),Deep Well (ft),Shallow Well (ft),80 cm Soil (C),10 cm Soil (C)
1,17.91,22.62,12.54,85.22,92.7,71.6,50.11,503,7166,1.01,15.56,1008.14,1010,1003,0,5.62,1.8,4.41,2.2
1,24.5,29.07,21.94,59.26,71.5,48.64,52.47,482,7503,4.43,26.74,1011.17,1013,1008,0,4.89,1.36,5.14,2.64
1,23.39,30.13,14.56,81.02,92.7,61.71,55.53,449,7940,2.54,20.6,1000.29,1004,997,0.01,6,2.36,4.2,2.03
1,41.38,51.03,34.86,79.02,90.5,66.3,54.41,349,7780,0.53,8.55,1011.47,1014,1008,0,5.23,1.6,5.17,2.74
1,21.59,29.88,10.76,64.6,86.3,42.98,111.23,669,15905,4.03,21.48,1009.59,1016,1004,0,5.47,1.93,4.44,2.24
1,24.41,33.93,15.39,81.19,94.2,58.92,40.16,327,5742,1.26,14.69,1007.69,1013,998,0,5.97,2.34,4.24,2.06
2,21.45,31.17,6.24,66.68,85.6,40.22,65.04,301,9301,2.55,32,1004.43,1009,1000,0,6.01,2.19,3.67,1.55
2,11.53,22.37,1.96,54.37,71.1,41.34,172.19,692,24622,2.67,17.76,1012.97,1018,1006,0,4.99,1.53,3.51,1.49
2,30.87,36.41,28.35,81.33,96.4,64.47,80.35,755,11410,3.93,40.55,1002.12,1011,985,0.17,6.62,1.88,3.87,1.7
2,16.26,21.67,7.9,68.16,90.7,47.96,99.31,617,14201,2.35,17.97,1005.12,1010,1003,0.04,5.08,1.43,3.52,1.47
2,24.18,40.44,5.88,52.35,76.5,24.26,122.65,771,17540,1.13,15.56,1017,1022,1013,0,6.06,1.86,3.64,1.51
2,17.18,33.57,0.77,58.95,88.2,20.17,139.27,605,19915,1.16,19.07,1013.5,1019,1011,0,6.63,2.73,3.94,1.79
3,37.61,50.04,23.36,57.16,88.7,28.55,272.08,882,35642,1.54,15.34,1012.12,1016,1009,0,3.97,1.39,3.43,2.7
3,23.46,31.68,17.29,91.51,96.4,86.4,69.33,353,9845,0.63,12.71,1006.57,1020,996,0.54,4.42,0.89,3.05,0.54
3,24.24,33.57,13.73,50.13,79,30.22,231.75,1010,33140,3.63,23.89,1007.45,1009,1006,0,3.64,1.3,3.64,1.95
3,39.23,45.91,31.89,55.64,91.7,38.09,91.87,541,13137,2.2,16,1005.29,1009,1002,0,4,1.37,3.5,3.61
3,29.3,38.07,22.05,64.59,91,34.37,225.8,989,30257,2.49,17.32,1000.63,1006,998,0.01,3.48,1.19,3.57,2.79
3,47.51,57.54,39.74,59.68,94.1,29.14,156.93,822,22441,2.37,30.47,1005.31,1009,1002,0.04,3.46,0.8,2.67,2.4
4,51.41,57.42,45.19,87.37,94,68.34,67.56,341,9661,0.48,14.25,1012.93,1015,1011,0.03,3.59,1.29,6.73,8.37
4,48.57,62.06,33.46,63.31,83.2,45.99,227.29,874,32503,2.85,19.73,1012.46,1016,1007,0,3.66,1.37,4.92,8.17
4,38.26,48.52,31.89,71.15,90,39.73,138.32,952,19780,3.68,24.77,991.94,997,988,0.01,3.92,1.11,3.74,3.16
4,44.91,53.28,37.49,72.15,95.5,30.27,142.9,1219,20435,3.2,28.5,997,1003,991,1.41,3.67,0.91,6.91,7.07
4,49.86,63.37,38.44,71.84,94.9,34.63,132.75,873,18850,1.21,17.32,1002.6,1007,1001,0.02,3.46,1.1,9.28,12.6
4,44.03,50.2,40.69,78.32,94.4,45.02,43.92,354,6280,4.26,36.83,1010.14,1014,1006,0.29,3.71,1.25,6.47,8.89
5,47.73,63.48,41.05,91.3,95.6,76.5,42.86,176,6129,0.93,17.97,1009.2,1011,1007,0.89,3.86,1.01,9.95,12.88
5,72.53,82.6,64.44,75.59,90.5,54.7,268.26,979,38361,1.47,20.82,1013.27,1015,1012,0,5.53,2.52,13.3,18.29
5,70.76,81.88,59.11,73.76,95,44.79,261.78,1117,37435,1.9,19.07,1012.12,1014,1011,0,5.34,2.25,12.96,17.76
5,57.26,66.94,45.34,74.09,92.4,53.72,201.47,1145,28810,1.02,22.58,1008.46,1011,1005,0,4.71,1.9,10.7,13.92
5,51.78,56.37,48.65,85.74,92.7,74.5,92.12,596,12897,2.53,17.97,1004.41,1009,1001,0.04,4.88,1.33,11.12,13.18
5,52.43,64.67,41.18,65.44,92.1,35.55,194.11,1105,27758,1.16,16.88,1005.44,1007,1004,0,3.62,1.37,10.11,11.75
6,55.27,72.99,38.08,67.87,95.6,29.14,323.7,1155,46289,0.48,13.37,1013.39,1015,1011,0,6.7,3.24,14.46,15.91
6,59.27,65.62,54.59,88.67,94.6,75.3,104.97,551,15010,1.96,16.22,1003.88,1005,1003,0.34,7.41,1.42,15.28,17.04
6,67.52,85.1,51.15,71.64,95.9,29.6,309.15,983,44209,0.46,10.96,1009.13,1011,1007,0,7.38,3.75,14.25,16.85
6,61.05,74.3,54.12,88.73,95.8,65.28,144.63,1290,20682,0.78,11.18,1005.35,1008,1004,0.5,6.53,1.31,15.26,16.88
6,64.73,81.88,47.57,72.42,96.2,33.29,327.67,991,46857,0.39,10.08,1008.91,1010,1008,0,8.41,3.94,15.04,16.63
6,54.84,60.75,47.57,90.56,96.2,76.1,109.22,845,15619,0.34,12.49,1008.15,1009,1007,0.15,8.2,3.65,14.95,16.14
7,67.33,80.33,59.36,79.65,94.1,48.04,216.32,1177,30933,0.92,24.11,1004.27,1008,1002,0.06,7.21,3.59,17.43,21.16
7,66.33,82,51.75,75.71,96.3,35.41,309.35,1091,44237,0.23,8.11,1012.73,1015,1010,0,5.32,2.03,15.72,18.38
7,71.19,86.76,55.9,72.87,95.9,36.53,306.22,1062,43789,0.48,10.96,1014.87,1017,1012,0,8.24,4.31,17.62,20.14
7,70.38,86.99,55.9,80.19,96.2,51.59,234.47,1010,31420,0.32,11.18,1007.92,1009,1006,0,8.87,4.79,17.89,20.91
7,66.94,84.74,51.26,72.03,95.9,30.19,295.07,1026,42195,0.14,7.67,1016.11,1018,1015,0,8,4.14,17.62,19.87
7,75.2,89.37,63.86,73.05,94.4,40.69,256.35,1097,36658,0.7,16,1009.03,1011,1008,0.01,9.46,5.18,18.42,22.48
8,61.96,72.39,56.73,88.44,95.6,64.49,154.19,842,22050,0.32,10.74,1006.82,1012,1003,0.09,11.71,4.05,18.68,19.59
8,65,68.95,56.26,91.41,95.3,81.8,27.15,212,3693,2.53,31.78,988.26,1004,974,4.98,10.89,3.21,18.89,20.19
8,64.15,78.67,51.26,73.12,95.3,42.08,278.47,1100,39821,0.74,11.4,1011.07,1013,1009,0,11.66,7.07,18.96,20.64
8,63.06,72.27,52.93,73.26,94.8,47.51,194.08,984,27754,1.85,23.67,1005.33,1009,1003,0.13,10.25,5.83,18.74,20.48
8,66.96,79.63,57.69,83.8,96.2,51.73,228.03,946,32609,0.42,10.3,1011.27,1013,1009,0,10.85,6.39,18.46,20.01
8,64.4,79.27,50.79,78.97,96.1,44,222.25,1063,31338,0.13,8.77,1003.93,1005,1003,0,10.84,6.31,18.63,20.31
9,66.13,80.1,55.44,81.24,96.3,48.29,207.16,791,29416,0.69,13.15,1007.75,1010,1006,0,3.99,1.54,17.87,18.9
9,60.15,72.86,49.71,82.68,96.4,36.8,218.37,858,31227,0.36,10.52,1010.04,1013,1008,0.01,3.84,1.21,18.1,19.27
9,72.25,82.96,65.26,87.13,95.7,68.05,169.93,866,24300,0.73,18.63,1007.14,1009,1005,0.23,5.65,2.09,18.28,20.5
9,63.84,77.49,55.67,84.36,96.1,48.95,160.16,915,22743,0.09,9.21,1010.7,1012,1009,0,3.93,1.41,17.96,18.69
9,60.97,75.24,51.15,87.02,96.4,53.58,151.08,887,21453,0.38,11.62,1017.73,1019,1017,0.01,5.34,2.36,16.4,16.04
9,66.8,79.45,57.11,86.98,99.9,59.34,136.5,871,19656,0.12,11.18,1010.88,1012,1009,0,4.6,1.71,16.59,18.56
10,55.79,69.96,43.86,78,95.5,43.15,82.48,699,11878,3.4,27.18,993.22,998,989,0.16,4.53,1.54,13.91,13.18
10,49.6,54.55,43.88,67.72,86,55.76,71.61,540,10312,1.13,17.97,1004.31,1009,998,0,4.58,1.66,13.81,12.98
10,60.17,75.56,47.68,82.8,99.4,48.44,171.8,643,24739,0.41,12.71,1018.28,1020,1016,0.01,4.37,1.83,14.7,14.46
10,57.68,72.23,50.07,77.56,99.9,26.02,156.93,696,22599,0.31,9.43,1017.26,1019,1016,0,4.56,1.93,14.65,14.94
10,33.9,47.97,22.33,75.64,98,40.11,114.99,600,16559,0.35,13.15,1021.18,1022,1020,0,4.41,1.28,11.6,7.92
10,42.91,54.68,33.93,78.11,96.8,43.93,81.2,527,11692,0.37,9.64,1013.44,1015,1012,0,4.91,1.94,13.58,12.09
11,30.97,38.59,25.2,73.46,90.2,51.99,71.97,530,10364,2.71,22.8,1016.76,1021,1008,0,5.47,2.12,9.72,7.27
11,39.31,45.93,28.74,63.82,89.9,39.38,106.89,611,15392,2.58,21.26,1013.13,1019,1007,0,3.9,1.11,10.53,8.06
11,49.44,58.8,43.48,78.87,96.6,66.88,28.32,263,1756,3.93,26.96,995.98,997,995,0.11,4.99,1.29,8.42,9.27
11,38.14,47.52,31.08,67.58,85.2,56.15,29.29,225,4217,3.46,28.06,1004.54,1008,1002,0,5.44,1.85,9.77,8.71
11,32.09,46.22,22.98,75.62,94.9,40.39,138.66,551,19967,0.68,12.06,1023.35,1025,1019,0,3.97,1.43,10.39,7.1
11,31.89,41.43,21.15,79.18,95.7,53.67,66.46,393,9570,0.77,15.12,1019.69,1023,1013,0.27,5.96,2.67,8.99,5.92
12,34.05,46.04,23.32,82.23,99.2,59.29,26.67,168,3840,2.04,22.58,1003.2,1015,985,0.8,3.7,1.47,5.74,2.46
12,36.96,39.45,31.37,98.21,99.3,96.2,7.88,48,1135,1.32,14.47,1002.83,1008,996,1.9,5.07,1.08,7.94,7.3
12,16.94,24.73,12.02,66.94,87.8,40.35,78.42,476,11293,1.66,20.17,1006.5,1009,1001,0,3.57,1.48,5.49,2.3
12,27.51,34.77,16.07,70.72,82.8,52.89,31.15,219,4485,2.28,18.63,1012.24,1015,1010,0,3.67,1.14,6.99,4.76
12,38.3,49.28,34.75,75.12,95.1,61.31,35.92,360,5173,4.85,34.41,1007.63,1012,998,0.25,3.74,1.03,7.02,5.31
12,47.18,59.27,36.63,79.81,96.7,51.62,73.09,463,10525,0.74,16.22,1018.66,1022,1015,0,5.17,2.01,7.92,5.37
